ID;Nome;Telefone;Email;DataInclusao
18699;Zara;9890000000;zara@gmail.com;19/06/2024
18700;Nike;9876543210;nike@example.com;19/06/2024
18701;Apple;9998887776;info@apple.com;19/06/2024
18702;Google;9988776655;contact@google.com;19/06/2024
18703;Amazon;9876543210;hello@amazon.com;19/06/2024
18704;Microsoft;9990001111;contact@microsoft.com;19/06/2024
18705;Samsung;9898989898;support@samsung.com;19/06/2024
18706;Adidas;9876543210;adidas@email.com;19/06/2024
18707;Toyota;9991112223;info@toyota.com;19/06/2024
18708;Sony;9898989898;hello@sony.com;19/06/2024
